2018/06/03 10:29:34 [error] 1723#0: *3 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528046914899-106&sid=9742c5477b264042b7e956f1efdc9966 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528046914899-106&sid=9742c5477b264042b7e956f1efdc9966", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:29:34 [error] 1723#0: *3 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "POST /socket.io/?EIO=3&transport=polling&t=1528046974913-117&sid=d175ada760954fb296fec69d48af06f5 HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528046974913-117&sid=d175ada760954fb296fec69d48af06f5", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:29:36 [error] 1723#0: *156 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=websocket&sid=1a01b4a8632d45fe88689ebd14ebf565 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=websocket&sid=1a01b4a8632d45fe88689ebd14ebf565", host: "192.168.55.102:8080"
2018/06/03 10:30:03 [error] 1723#0: *55 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047003825-127 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047003825-127", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:30:03 [error] 1723#0: *144 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528046943935-114&sid=d175ada760954fb296fec69d48af06f5 HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528046943935-114&sid=d175ada760954fb296fec69d48af06f5", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:30:03 [error] 1723#0: *144 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528046943935-114&sid=d175ada760954fb296fec69d48af06f5 HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528046943935-114&sid=d175ada760954fb296fec69d48af06f5", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:30:30 [error] 1723#0: *144 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047030855-134 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047030855-134", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:30:36 [error] 1723#0: *3 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528046976900-121&sid=1a01b4a8632d45fe88689ebd14ebf565 HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528046976900-121&sid=1a01b4a8632d45fe88689ebd14ebf565", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:30:36 [error] 1723#0: *3 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528046976900-121&sid=1a01b4a8632d45fe88689ebd14ebf565 HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528046976900-121&sid=1a01b4a8632d45fe88689ebd14ebf565", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:30:59 [error] 1723#0: *3 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047059835-141 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047059835-141", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:31:03 [error] 1723#0: *55 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047003883-128&sid=c56bf0562a944320ad81bfe48024a56d HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528047003883-128&sid=c56bf0562a944320ad81bfe48024a56d", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:31:03 [error] 1723#0: *55 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047003883-128&sid=c56bf0562a944320ad81bfe48024a56d HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528047003883-128&sid=c56bf0562a944320ad81bfe48024a56d", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:31:30 [error] 1723#0: *55 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047090882-152 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047090882-152", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:31:30 [error] 1723#0: *144 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047030960-136&sid=6ab66ce1760f49c28f1c2cbf5646249c HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528047030960-136&sid=6ab66ce1760f49c28f1c2cbf5646249c", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:31:30 [error] 1723#0: *144 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047030960-136&sid=6ab66ce1760f49c28f1c2cbf5646249c HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528047030960-136&sid=6ab66ce1760f49c28f1c2cbf5646249c", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:31:31 [error] 1723#0: *55 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "POST /socket.io/?EIO=3&transport=polling&t=1528047091573-154&sid=41fc3669cae742949bac374bf70de028 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047091573-154&sid=41fc3669cae742949bac374bf70de028", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:01 [error] 1723#0: *3 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047061918-146&sid=c1a8e39cd69249f98318f307a16aabdc HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528047061918-146&sid=c1a8e39cd69249f98318f307a16aabdc", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:01 [error] 1723#0: *3 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047061918-146&sid=c1a8e39cd69249f98318f307a16aabdc HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047061918-146&sid=c1a8e39cd69249f98318f307a16aabdc", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:02 [error] 1723#0: *3 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047122756-162 HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528047122756-162", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:06 [error] 1723#0: *3 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047126548-163 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047126548-163", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:32 [error] 1723#0: *55 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047092908-157&sid=efa13c6ca0144ba59f894672d8b13275 HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528047092908-157&sid=efa13c6ca0144ba59f894672d8b13275", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:32 [error] 1723#0: *55 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047092908-157&sid=efa13c6ca0144ba59f894672d8b13275 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047092908-157&sid=efa13c6ca0144ba59f894672d8b13275", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:41 [error] 1723#0: *55 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "POST /socket.io/?EIO=3&transport=polling&t=1528047161003-182&sid=9241ba788511441ca795726a81589a0f HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528047161003-182&sid=9241ba788511441ca795726a81589a0f", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:32:50 [error] 1723#0: *144 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047162829-184 HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528047162829-184", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:33:05 [error] 1723#0: *55 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047185787-187 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047185787-187", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:33:15 [error] 1723#0: *3 upstream timed out (60: Operation timed out) while reading response header from upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047135949-178&sid=9241ba788511441ca795726a81589a0f HTTP/1.1", upstream: "http://192.168.55.117:8001/socket.io/?EIO=3&transport=polling&t=1528047135949-178&sid=9241ba788511441ca795726a81589a0f", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:33:15 [error] 1723#0: *3 no live upstreams while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047135949-178&sid=9241ba788511441ca795726a81589a0f HTTP/1.1", upstream: "http://backend/socket.io/?EIO=3&transport=polling&t=1528047135949-178&sid=9241ba788511441ca795726a81589a0f", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:33:20 [error] 1723#0: *144 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "GET /socket.io/?EIO=3&transport=polling&t=1528047162829-184 HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047162829-184", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
2018/06/03 10:33:34 [error] 1723#0: *144 connect() to 192.168.55.120:8001 failed (64: Host is down) while connecting to upstream, client: 192.168.55.102, server: localhost, request: "POST /socket.io/?EIO=3&transport=polling&t=1528047214534-195&sid=c4383583702444f791662750da7cc9db HTTP/1.1", upstream: "http://192.168.55.120:8001/socket.io/?EIO=3&transport=polling&t=1528047214534-195&sid=c4383583702444f791662750da7cc9db", host: "192.168.55.102:8080", referrer: "http://192.168.55.102:8080/index.html"
